"cluster","spec","LL","k","nObs","AIC","BIC"
"c4","MA14",-22474.8249080969,40,29160,45029.6498161939,45360.8719436388
"c4","t1daily",-22480.7389901063,40,29160,45041.4779802125,45372.7001076574
"c4","daily",-22483.0548893337,40,29160,45046.1097786673,45377.3319061122
"c4","MA7",-22485.619072523,40,29160,45051.238145046,45382.4602724909
"c4","MA30",-22493.6991945547,40,29160,45067.3983891093,45398.6205165542
"c5","MA30",-4732.24257445279,43,6806,9550.48514890559,9843.9842226732
"c5","daily",-4734.51489010971,43,6806,9555.02978021943,9848.52885398705
"c5","MA14",-4735.84747596312,43,6806,9557.69495192623,9851.19402569385
"c5","t1daily",-4738.80976118759,43,6806,9563.61952237519,9857.1185961428
"c5","MA7",-4741.21688814497,43,6806,9568.43377628994,9861.93285005755
"c6","MA30",-1875.68291804541,35,2581,3821.36583609081,4026.32346308096
"c6","daily",-1883.76609329812,35,2581,3837.53218659624,4042.48981358639
"c6","MA7",-1884.38356802801,35,2581,3838.76713605602,4043.72476304617
"c6","MA14",-1884.97307243104,35,2581,3839.94614486207,4044.90377185222
"c6","t1daily",-1885.25803268162,35,2581,3840.51606536324,4045.47369235339
"c7","MA30",-1689.83063754305,33,2481,3445.66127508609,3637.60303554792
"c7","MA7",-1690.40625043257,33,2481,3446.81250086514,3638.75426132697
"c7","MA14",-1690.40980977659,33,2481,3446.81961955318,3638.761380015
"c7","daily",-1690.53127818412,33,2481,3447.06255636823,3639.00431683006
"c7","t1daily",-1690.5635446181,33,2481,3447.1270892362,3639.06884969803
