"drvid","BoatName","mmsi"
"605599","Anthony G","367789240"
"248555","Evermore","NA"
"1131965","Lady Law","367084010"
"OR072ACX","Lauren L Kapp","NA"
"OR661ZK","Pacific Journey","NA"
"972638","Pacific Raider","367455570"
"OR873ABY","Pacific Pursuit","NA"
"625595","Johnny A","NA"
"647246","Delta Dawn","366933360"
"246530","West Wind","NA"
"625595","Pacific Pursuit","NA"
"WN7995RP","Pacific Venture","NA"
"1187928","Arctic Fox","NA"
"621541","Ocean Dream","367314190"
"1240646","Sequel","367536560"
"623983","St Teresa","NA"
"976542","Miss Roxanne","366734030"
"1244893","Miss Emily","367600770"
"927638","Pacific Raider","NA"
"1249802","April Lane","367609850"
"615795","Corva May","368017760"
"974306","Harbor Gem","367678080"
"626289","Emerald Sea","NA"
"1038717","Lisa Marie","NA"
"1246619","Loui M","NA"
"OR6612K","Pacific Journey","NA"
"1225561.0","Infinite Grace","NA"
"626289.0","Emerald Sea","NA"
"1244073.0","Invincible","NA"
"622522.0","Ocean Angel II","NA"
"206451.0","Anna Marie","NA"
"625595.0","Pacific Grace","NA"
"564301.0","Pillar Bay","NA"
"102H4","Rising Spirit","NA"
"584187.0","Chelsea Dawn","NA"
"1259418","Andy Sea","NA"
"1238032","Anthem","367517490"
